CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
67-64-1	CC(C)=O	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CSCPPACGZOOCGX-UHFFFAOYSA-N	-0,81	6,12
98-82-8	CC(C)c1ccccc1	InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3	RWGFKTVRMDUZSP-UHFFFAOYSA-N	-1,07	6,38
N/A (121-92-6 — neutral)	C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)[O-]	InChI=1S/C7H5NO4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)/p-1	AFPHTEQTJZKQAQ-UHFFFAOYSA-M	1,46	5,19
528-29-0	C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C6H4N2O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H	IZUKQUVSCNEFMJ-UHFFFAOYSA-N	1,93	4,97
97-02-9	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N	InChI=1S/C6H5N3O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,7H2	LXQOQPGNCGEELI-UHFFFAOYSA-N	1,64	4,06
N/A	C(#N)C(=C1C2=NON=C2C(=C(C#N)C#N)C3=NON=C13)C#N	InChI=1S/C12N8O2/c13-1-5(2-14)7-9-11(19-21-17-9)8(6(3-15)4-16)12-10(7)18-22-20-12	UWBKLNBXTQHQFR-UHFFFAOYSA-N	3,78	3,53
N/A	C1=CN2C(=C(C(=N2)[N+](=O)[O-])[N+](=O)[O-])N=C1  	InChI=1S/C6H3N5O4/c12-10(13)4-5-7-2-1-3-9(5)8-6(4)11(14)15/h1-3H	DMHYUMSRQAKROC-UHFFFAOYSA-N	1,99	4,72
551-62-2	Fc1ccc(F)c(F)c1F	InChI=1S/C6H2F4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H	SOZFIIXUNAKEJP-UHFFFAOYSA-N	-0,06	6,23
106-51-4	O=C1C=CC(=O)C=C1	InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H	AZQWKYJCGOJGHM-UHFFFAOYSA-N	2,11	3,87
527-61-7	CC1=CC(=O)C=C(C)C1=O	InChI=1S/C8H8O2/c1-5-3-7(9)4-6(2)8(5)10/h3-4H,1-2H3	SENUUPBBLQWHMF-UHFFFAOYSA-N	1,92	3,88
16156-59-5	C[S](=O)(=O)Oc1ccccc1	InChI=1S/C7H8O3S/c1-11(8,9)10-7-5-3-2-4-6-7/h2-6H,1H3	WXVUCMFEGJUVTN-UHFFFAOYSA-N	0,94	6,40
